repository_name,type,event_date,total_events
BVLC/caffe,IssueCommentEvent,2017-05-11,5
BVLC/caffe,WatchEvent,2015-05-14,5
BVLC/caffe,IssueCommentEvent,2016-09-16,5
BVLC/caffe,IssueCommentEvent,2017-07-12,5
BVLC/caffe,IssueCommentEvent,2018-01-14,5
BVLC/caffe,IssueCommentEvent,2016-05-08,5
BVLC/caffe,IssueCommentEvent,2016-10-30,5
BVLC/caffe,IssueCommentEvent,2017-07-17,5
BVLC/caffe,IssueCommentEvent,2017-05-15,5
BVLC/caffe,IssueCommentEvent,2015-01-01,5
BVLC/caffe,IssueCommentEvent,2017-04-30,5
BVLC/caffe,WatchEvent,2015-02-22,5
BVLC/caffe,IssueCommentEvent,2017-02-05,5
BVLC/caffe,IssueCommentEvent,2016-12-28,5
BVLC/caffe,IssueCommentEvent,2017-12-18,5
BVLC/caffe,IssueCommentEvent,2018-04-20,5
BVLC/caffe,IssueCommentEvent,2018-01-16,5
BVLC/caffe,IssueCommentEvent,2015-04-11,5
BVLC/caffe,IssueCommentEvent,2018-02-10,5
BVLC/caffe,IssueCommentEvent,2017-07-18,5
BVLC/caffe,IssueCommentEvent,2017-04-05,6
BVLC/caffe,IssueCommentEvent,2017-11-09,6
BVLC/caffe,IssueCommentEvent,2017-06-19,6
BVLC/caffe,IssueCommentEvent,2016-03-20,6
BVLC/caffe,WatchEvent,2018-01-01,6
BVLC/caffe,WatchEvent,2018-05-27,6
BVLC/caffe,IssueCommentEvent,2016-08-20,6
BVLC/caffe,IssueCommentEvent,2015-03-21,6
BVLC/caffe,WatchEvent,2018-04-28,6
BVLC/caffe,IssueCommentEvent,2016-01-30,6
BVLC/caffe,IssueCommentEvent,2018-05-08,6
BVLC/caffe,IssueCommentEvent,2018-03-17,6
BVLC/caffe,IssueCommentEvent,2015-10-31,6
BVLC/caffe,IssueCommentEvent,2016-12-19,6
BVLC/caffe,IssueCommentEvent,2016-10-15,6
BVLC/caffe,IssueCommentEvent,2016-08-02,6
BVLC/caffe,IssueCommentEvent,2017-01-16,6
BVLC/caffe,IssueCommentEvent,2015-12-23,6
BVLC/caffe,IssueCommentEvent,2015-10-02,6
BVLC/caffe,IssueCommentEvent,2016-12-26,6
BVLC/caffe,IssueCommentEvent,2017-04-23,6
BVLC/caffe,IssueCommentEvent,2016-08-09,6
BVLC/caffe,IssueCommentEvent,2016-09-03,6
BVLC/caffe,IssueCommentEvent,2017-02-06,6
BVLC/caffe,IssueCommentEvent,2017-12-27,6
BVLC/caffe,WatchEvent,2015-09-19,6
BVLC/caffe,IssueCommentEvent,2017-01-27,6
BVLC/caffe,IssueCommentEvent,2016-01-24,6
BVLC/caffe,IssueCommentEvent,2015-09-05,6
BVLC/caffe,IssueCommentEvent,2016-08-01,6
BVLC/caffe,IssueCommentEvent,2015-10-12,6
BVLC/caffe,IssueCommentEvent,2016-06-18,6
BVLC/caffe,IssueCommentEvent,2018-05-04,6
BVLC/caffe,WatchEvent,2015-01-12,6
BVLC/caffe,IssueCommentEvent,2018-02-01,6
BVLC/caffe,IssueCommentEvent,2017-05-07,6
BVLC/caffe,IssueCommentEvent,2017-05-30,6
BVLC/caffe,IssueCommentEvent,2016-01-09,6
BVLC/caffe,IssueCommentEvent,2018-01-31,6
BVLC/caffe,IssueCommentEvent,2017-08-30,6
BVLC/caffe,IssueCommentEvent,2018-04-17,6
BVLC/caffe,WatchEvent,2016-06-25,6
BVLC/caffe,IssueCommentEvent,2015-10-11,6
BVLC/caffe,IssueCommentEvent,2017-11-13,6
BVLC/caffe,IssueCommentEvent,2017-01-12,6
BVLC/caffe,IssueCommentEvent,2017-09-26,6
BVLC/caffe,WatchEvent,2016-02-06,6
BVLC/caffe,IssueCommentEvent,2017-12-01,6
BVLC/caffe,IssueCommentEvent,2017-07-27,6
BVLC/caffe,IssueCommentEvent,2017-04-22,6
BVLC/caffe,WatchEvent,2015-02-01,6
BVLC/caffe,IssueCommentEvent,2015-05-25,6
BVLC/caffe,IssueCommentEvent,2015-01-18,6
BVLC/caffe,WatchEvent,2015-05-09,6
BVLC/caffe,IssueCommentEvent,2015-12-20,6
BVLC/caffe,IssueCommentEvent,2017-05-03,6
BVLC/caffe,IssueCommentEvent,2017-06-02,6
BVLC/caffe,IssueCommentEvent,2017-07-30,6
BVLC/caffe,WatchEvent,2018-04-07,6
BVLC/caffe,IssueCommentEvent,2016-12-18,6
BVLC/caffe,WatchEvent,2015-02-04,6
BVLC/caffe,IssueCommentEvent,2018-05-03,6
BVLC/caffe,IssueCommentEvent,2017-09-14,6
BVLC/caffe,IssueCommentEvent,2016-09-07,6
BVLC/caffe,IssueCommentEvent,2017-07-04,6
BVLC/caffe,IssueCommentEvent,2017-10-12,6
BVLC/caffe,IssueCommentEvent,2017-09-23,6
BVLC/caffe,IssueCommentEvent,2018-04-11,6
BVLC/caffe,WatchEvent,2015-02-27,6
BVLC/caffe,IssueCommentEvent,2015-02-09,6
BVLC/caffe,IssueCommentEvent,2017-07-11,6
BVLC/caffe,IssueCommentEvent,2018-03-08,6
BVLC/caffe,WatchEvent,2017-11-11,7
BVLC/caffe,WatchEvent,2015-03-01,7
BVLC/caffe,IssueCommentEvent,2017-07-22,7
BVLC/caffe,IssueCommentEvent,2018-02-23,7
BVLC/caffe,IssueCommentEvent,2015-12-19,7
BVLC/caffe,IssueCommentEvent,2016-09-13,7
BVLC/caffe,IssueCommentEvent,2016-01-17,7
BVLC/caffe,IssueCommentEvent,2016-08-25,7
BVLC/caffe,IssueCommentEvent,2017-08-14,7
BVLC/caffe,WatchEvent,2015-05-24,7
BVLC/caffe,IssueCommentEvent,2017-02-19,7
BVLC/caffe,IssueCommentEvent,2016-12-23,7
BVLC/caffe,WatchEvent,2017-01-01,7
BVLC/caffe,IssueCommentEvent,2017-12-28,7
BVLC/caffe,IssueCommentEvent,2017-04-02,7
BVLC/caffe,IssueCommentEvent,2017-05-19,7
BVLC/caffe,WatchEvent,2015-01-17,7
BVLC/caffe,WatchEvent,2015-01-28,7
BVLC/caffe,IssueCommentEvent,2016-10-13,7
BVLC/caffe,IssueCommentEvent,2017-12-20,7
BVLC/caffe,WatchEvent,2015-10-02,7
BVLC/caffe,IssueCommentEvent,2018-03-26,7
BVLC/caffe,IssueCommentEvent,2015-06-09,7
BVLC/caffe,IssueCommentEvent,2015-09-27,7
BVLC/caffe,IssueCommentEvent,2015-10-29,7
BVLC/caffe,IssueCommentEvent,2017-05-22,7
BVLC/caffe,IssueCommentEvent,2016-08-05,7
BVLC/caffe,IssueCommentEvent,2016-09-29,7
BVLC/caffe,IssueCommentEvent,2017-09-19,7
BVLC/caffe,IssueCommentEvent,2017-04-16,7
BVLC/caffe,WatchEvent,2015-03-04,7
BVLC/caffe,WatchEvent,2015-02-18,7
BVLC/caffe,IssueCommentEvent,2016-12-22,7
BVLC/caffe,WatchEvent,2017-09-02,7
BVLC/caffe,WatchEvent,2015-11-07,7
BVLC/caffe,IssueCommentEvent,2017-08-15,7
BVLC/caffe,IssueCommentEvent,2015-09-13,7
BVLC/caffe,IssueCommentEvent,2016-01-16,7
BVLC/caffe,IssueCommentEvent,2015-12-29,7
BVLC/caffe,IssueCommentEvent,2017-11-20,7
BVLC/caffe,IssueCommentEvent,2015-01-02,7
BVLC/caffe,WatchEvent,2018-05-13,7
BVLC/caffe,IssueCommentEvent,2018-05-18,7
BVLC/caffe,WatchEvent,2015-05-03,7
BVLC/caffe,WatchEvent,2015-02-13,7
BVLC/caffe,IssueCommentEvent,2017-04-03,7
BVLC/caffe,IssueCommentEvent,2017-06-20,7
